Barangay,Commodity,Farmer,Planting Density (ha),Production Vol/ Hectare (kls),Newly Planted,Vegetative,Reproductive,Maturity/,TOTAL,Newly Planted/ha,Vegetative/ha,Reproductive/ha,Maturity/ha,Total/ha,Area,Production Volume (MT)
BUNGA,Polesitao,BUNGA BONTOC UPLAND DEVE,18000,9000,100,0,0,200,200,0.0056,0.0000,0.0000,0.0111,0.0167,0.0111,0.1000
TAA,Polesitao,ESTOPIA,11000,3000,100,100,0,0,100,0.0091,0.0091,0.0000,0.0000,0.0182,0.0000,0.0000
PAKU,Squash,PAKU FARMERS ASSOCIATION,15000,5000,50,75,25,0,150,0.0033,0.0050,0.0017,0.0000,0.0100,0.0000,0.0000
BUNGA,Tomato,BUNGA VEGETABLE GROWERS,20000,8000,0,0,100,50,150,0.0000,0.0000,0.0050,0.0025,0.0075,0.0025,0.0200
TAA,Corn,TAA CORN PRODUCERS,12000,4000,200,150,100,0,450,0.0167,0.0125,0.0083,0.0000,0.0375,0.0000,0.0000
PAKU,Rice,PAKU RICE FARMERS,25000,6000,0,0,0,300,300,0.0000,0.0000,0.0000,0.0120,0.0120,0.0120,0.0720
BUNGA,Eggplant,BUNGA VEGETABLE COOP,18000,7000,75,50,25,0,150,0.0042,0.0028,0.0014,0.0000,0.0083,0.0000,0.0000
TAA,Cabbage,TAA VEGETABLE GROWERS,16000,5500,0,100,50,25,175,0.0000,0.0063,0.0031,0.0016,0.0109,0.0016,0.0088
PAKU,Pechay,PAKU LEAFY VEGETABLES,14000,4500,60,40,20,0,120,0.0043,0.0029,0.0014,0.0000,0.0086,0.0000,0.0000
BUNGA,Okra,BUNGA VEGETABLE FARMERS,17000,6500,80,60,30,10,180,0.0047,0.0035,0.0018,0.0006,0.0106,0.0006,0.0039
